"Município";"Grupo de idade";"Variável";"Cor ou raça";"Ano";"Próprio de algum morador";"Alugado";"Cedido ou emprestado";"Outra condição"
"Angra dos Reis (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"114793";"42537";"9055";"915"
"Aperibé (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"8122";"2310";"552";"23"
"Araruama (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"98406";"22853";"6710";"1177"
"Areal (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"8362";"2552";"890";"17"
"Armação dos Búzios (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"26337";"10835";"2308";"344"
"Arraial do Cabo (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"22959";"6510";"1309";"200"
"Barra do Piraí (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"69906";"18083";"4372";"407"
"Barra Mansa (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"133590";"28416";"7052";"553"
"Belford Roxo (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"379246";"85555";"14723";"3375"
"Bom Jardim (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"16503";"8080";"3353";"130"
"Bom Jesus do Itabapoana (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"23400";"8146";"3300";"156"
"Cabo Frio (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"157538";"53139";"9331";"1714"
"Cachoeiras de Macacu (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"39899";"10853";"5258";"858"
"Cambuci (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"10528";"2670";"1341";"35"
"Carapebus (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"10763";"2267";"541";"276"
"Comendador Levy Gasparian (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"6949";"1023";"622";"64"
"Campos dos Goytacazes (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"388953";"60942";"25094";"5951"
"Cantagalo (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"13183";"4317";"1779";"68"
"Cardoso Moreira (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"8670";"2616";"1587";"73"
"Carmo (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"10758";"4995";"1131";"163"
"Casimiro de Abreu (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"32433";"10935";"2415";"253"
"Conceição de Macabu (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"15484";"3500";"1742";"274"
"Cordeiro (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"14067";"5681";"955";"55"
"Duas Barras (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"6669";"3387";"878";"26"
"Duque de Caxias (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"636103";"138512";"27434";"5584"
"Engenheiro Paulo de Frontin (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"9385";"2038";"719";"62"
"Guapimirim (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"39805";"8501";"2625";"617"
"Iguaba Grande (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"20064";"6152";"1490";"205"
"Itaboraí (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"172020";"35732";"14190";"1942"
"Itaguaí (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"90238";"20445";"4986";"843"
"Italva (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"11011";"2487";"560";"4"
"Itaocara (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"16609";"4461";"1681";"73"
"Itaperuna (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"68677";"23197";"7740";"728"
"Itatiaia (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"21873";"6849";"1931";"112"
"Japeri (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"75853";"12182";"2676";"503"
"Laje do Muriaé (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"5892";"1091";"347";"4"
"Macaé (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"165746";"69123";"9614";"1647"
"Macuco (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"3946";"1081";"358";"30"
"Magé (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"185301";"30329";"9187";"1217"
"Mangaratiba (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"28025";"11433";"1279";"471"
"Maricá (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"146395";"41430";"7139";"1922"
"Mendes (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"13318";"3223";"863";"69"
"Mesquita (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"126413";"32916";"4696";"2735"
"Miguel Pereira (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"19856";"4906";"1633";"162"
"Miracema (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"19715";"4302";"2697";"115"
"Natividade (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"10369";"2969";"1616";"57"
"Nilópolis (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"106349";"35258";"4397";"643"
"Niterói (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"336174";"115095";"19594";"9279"
"Nova Friburgo (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"124635";"52912";"9966";"1776"
"Nova Iguaçu (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"622459";"119736";"34485";"7853"
"Paracambi (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"31873";"7597";"1503";"192"
"Paraíba do Sul (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"30713";"8621";"2393";"214"
"Paraty (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"29247";"11941";"3788";"131"
