"Município";"Grupo de idade";"Total"
"Angra dos Reis (RJ)";"Total";"1463,14"
"Aperibé (RJ)";"Total";"1360,14"
"Araruama (RJ)";"Total";"1311,77"
"Areal (RJ)";"Total";"1352,93"
"Armação dos Búzios (RJ)";"Total";"1619,56"
"Arraial do Cabo (RJ)";"Total";"1466,08"
"Barra do Piraí (RJ)";"Total";"1422,60"
"Barra Mansa (RJ)";"Total";"1407,80"
"Belford Roxo (RJ)";"Total";"915,03"
"Bom Jardim (RJ)";"Total";"1392,13"
"Bom Jesus do Itabapoana (RJ)";"Total";"1537,40"
"Cabo Frio (RJ)";"Total";"1549,33"
"Cachoeiras de Macacu (RJ)";"Total";"1212,66"
"Cambuci (RJ)";"Total";"1315,25"
"Carapebus (RJ)";"Total";"1132,90"
"Comendador Levy Gasparian (RJ)";"Total";"1127,61"
"Campos dos Goytacazes (RJ)";"Total";"1385,75"
"Cantagalo (RJ)";"Total";"1207,29"
"Cardoso Moreira (RJ)";"Total";"1077,50"
"Carmo (RJ)";"Total";"1309,80"
"Casimiro de Abreu (RJ)";"Total";"1378,38"
"Conceição de Macabu (RJ)";"Total";"1267,02"
"Cordeiro (RJ)";"Total";"1414,42"
"Duas Barras (RJ)";"Total";"1155,27"
"Duque de Caxias (RJ)";"Total";"1100,31"
"Engenheiro Paulo de Frontin (RJ)";"Total";"1284,42"
"Guapimirim (RJ)";"Total";"1197,43"
"Iguaba Grande (RJ)";"Total";"1526,99"
"Itaboraí (RJ)";"Total";"1101,64"
"Itaguaí (RJ)";"Total";"1199,57"
"Italva (RJ)";"Total";"1227,13"
"Itaocara (RJ)";"Total";"1421,51"
"Itaperuna (RJ)";"Total";"1520,46"
"Itatiaia (RJ)";"Total";"1527,73"
"Japeri (RJ)";"Total";"786,34"
"Laje do Muriaé (RJ)";"Total";"1145,60"
"Macaé (RJ)";"Total";"1876,38"
"Macuco (RJ)";"Total";"1289,93"
"Magé (RJ)";"Total";"1036,31"
"Mangaratiba (RJ)";"Total";"1501,02"
"Maricá (RJ)";"Total";"1707,99"
"Mendes (RJ)";"Total";"1399,30"
"Mesquita (RJ)";"Total";"1115,94"
"Miguel Pereira (RJ)";"Total";"1784,00"
"Miracema (RJ)";"Total";"1414,60"
"Natividade (RJ)";"Total";"1393,71"
"Nilópolis (RJ)";"Total";"1298,90"
"Niterói (RJ)";"Total";"3577,32"
"Nova Friburgo (RJ)";"Total";"1757,65"
"Nova Iguaçu (RJ)";"Total";"1102,46"
"Paracambi (RJ)";"Total";"1349,13"
"Paraíba do Sul (RJ)";"Total";"1216,57"
"Paraty (RJ)";"Total";"1639,12"
"Paty do Alferes (RJ)";"Total";"1210,31"
"Petrópolis (RJ)";"Total";"1822,76"
"Pinheiral (RJ)";"Total";"1366,90"
"Piraí (RJ)";"Total";"1462,21"
"Porciúncula (RJ)";"Total";"1404,53"
"Porto Real (RJ)";"Total";"1237,94"
"Quatis (RJ)";"Total";"1274,65"
"Queimados (RJ)";"Total";"958,95"
"Quissamã (RJ)";"Total";"1108,09"
"Resende (RJ)";"Total";"1881,11"
"Rio Bonito (RJ)";"Total";"1407,84"
"Rio Claro (RJ)";"Total";"1232,33"
"Rio das Flores (RJ)";"Total";"1181,25"
"Rio das Ostras (RJ)";"Total";"1840,11"
"Rio de Janeiro (RJ)";"Total";"2515,32"
"Santa Maria Madalena (RJ)";"Total";"1337,53"
"Santo Antônio de Pádua (RJ)";"Total";"1308,22"
"São Francisco de Itabapoana (RJ)";"Total";"939,48"
"São Fidélis (RJ)";"Total";"1296,11"
"São Gonçalo (RJ)";"Total";"1209,50"
"São João da Barra (RJ)";"Total";"985,72"
"São João de Meriti (RJ)";"Total";"1042,94"
"São José de Ubá (RJ)";"Total";"1150,71"
"São José do Vale do Rio Preto (RJ)";"Total";"1203,03"
"São Pedro da Aldeia (RJ)";"Total";"1462,39"
"São Sebastião do Alto (RJ)";"Total";"1123,79"
"Sapucaia (RJ)";"Total";"1246,50"
"Saquarema (RJ)";"Total";"1491,00"
"Seropédica (RJ)";"Total";"1181,47"
"Silva Jardim (RJ)";"Total";"1042,66"
"Sumidouro (RJ)";"Total";"1223,03"
"Tanguá (RJ)";"Total";"959,96"
"Teresópolis (RJ)";"Total";"1860,47"
"Trajano de Moraes (RJ)";"Total";"1120,83"
"Três Rios (RJ)";"Total";"1438,62"
"Valença (RJ)";"Total";"1443,99"
"Varre-Sai (RJ)";"Total";"1108,62"
"Vassouras (RJ)";"Total";"1519,05"
"Volta Redonda (RJ)";"Total";"1787,91"
